#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: hit4.png (1052 x 512)
# $TexturePacker:SmartUpdate:df402043e9a77f84ba5528f5b6ed1fc4:5c24ec7dcbe6646d9f02f6e836c61fc9:89445b98cca7af9868ba27561c867f11$
#

hit4-0;0;465;382;48;51;192;192;0.5625;0.6666666666666666
hit4-1;0;392;382;71;86;192;192;0.5633802816901409;0.6395348837209303
hit4-2;0;298;387;92;107;192;192;0.5652173913043478;0.6261682242990654
hit4-3;1;171;388;125;117;192;192;0.5299145299145299;0.616
hit4-4;1;708;373;142;134;192;192;0.5373134328358209;0.6056338028169014
hit4-5;1;883;361;157;147;192;192;0.5374149659863946;0.5923566878980892
hit4-6;0;892;1;159;168;192;192;0.5345911949685535;0.5714285714285714
hit4-7;0;883;183;168;176;192;192;0.5357142857142857;0.5454545454545454
hit4-8;0;708;186;173;185;192;192;0.5375722543352601;0.518918918918919
hit4-9;0;533;192;173;190;192;192;0.5549132947976878;0.5052631578947369
hit4-10;0;359;1;175;189;192;192;0.5485714285714286;0.5079365079365079
hit4-11;0;181;1;176;189;192;192;0.5454545454545454;0.5079365079365079
hit4-12;0;1;1;178;191;192;192;0.5393258426966292;0.5026178010471204
hit4-13;0;1;194;175;192;192;192;0.5485714285714286;0.5
hit4-14;0;178;194;175;191;192;192;0.5485714285714286;0.4973821989528796
hit4-15;0;355;192;176;188;192;192;0.5454545454545454;0.48936170212765956
hit4-16;0;536;1;175;183;192;192;0.5428571428571428;0.48633879781420764
hit4-17;0;713;1;177;180;192;192;0.536723163841808;0.4777777777777778
hit4-18;0;1;388;168;120;192;192;0.5714285714285714;0.35833333333333334
